nombre_en_whatsapp,clasificacion,num_mensajes,primer_dia_julio,ultimo_dia_julio,zonas_mencionadas,muestra_de_mensaje
Jhadeee,SIN_CLASIFICAR,2,21,21,nogales,"Buenas noches, cuánto cobran del mercado de ttio a los Nogales"
Yami,SIN_CLASIFICAR,2,22,22,,Hola buenas noches necesito taxi moto para el día sábado a las 5:40 am
Maf,SIN_CLASIFICAR,2,23,23,,Buenas tardes De Ramiro priale por el colegio Cecilia Túpac Amaru a cachimayo cuanto?
.....,SIN_CLASIFICAR,2,23,23,,"Más maletero , debiste crear tu grupo con tu amigos y pedir que entren solo clientes XD"
Jean Pier,SIN_CLASIFICAR,2,23,23,,"Mano ahi damas en este grupo, tampoco es la manera de expresarnos"
Quipo,SIN_CLASIFICAR,1,19,19,"san jerónimo, unsaac",Y de san Jerónimo (kaira) a la Unsaac (perayoq)
Mario saava💨,SIN_CLASIFICAR,1,19,19,,Buenas noches
EDUARDO,SIN_CLASIFICAR,1,19,19,,Para servirles !
Mikali,SIN_CLASIFICAR,1,19,19,centro,Buenas noches algún motorizado que haga servicio desde el centro al aeropuerto
🥹,SIN_CLASIFICAR,1,19,19,manco,Buenas noches algún motorizado de sambenito parte baja a manco capaz antes de llegar a la virgen
Winny T.,SIN_CLASIFICAR,1,19,19,,Los tarifarios por favor
Ronald,SIN_CLASIFICAR,1,19,19,,Buenas noches tendrá el tarifario disponible?
🦉TUKITO DE LAS MONTAÑAS,SIN_CLASIFICAR,1,19,19,,Quien me agrego a este grupo?
Andre,SIN_CLASIFICAR,1,19,19,,En caso si necesito un servicio lo comunico a este grupo o llamo a algún número?
MiHogar - Corporación Inmobiliaria,SIN_CLASIFICAR,1,20,20,,Buen día como son las tarifas por favor
Lujan,SIN_CLASIFICAR,1,20,20,san sebastian,"Buenos días, de 4 de san sebastian hasta el seguro, por cuanto?"
Nicole Sharely,SIN_CLASIFICAR,1,20,20,"amauta, san sebastian","Buenas tardes, de amauta a segundo de San Sebastian para la 1pm, por favor"
Magnus Producciones Cusco Eventos,SIN_CLASIFICAR,1,20,20,,La invitacion dice pasajeros y conductores
Mary✨️,SIN_CLASIFICAR,1,20,20,,Con quien me comunico? Para una reserva
JD,SIN_CLASIFICAR,1,20,20,,..
🖤🖤,SIN_CLASIFICAR,1,20,20,,"Creo que los que solicitan el servicio de la moto es por qué tienen prisa o poco tiempo para llegar, se sobreentiende el"
Ale,SIN_CLASIFICAR,1,20,20,,"Hola, de uvima 5 a la universidad continental cuánto sería?"
ToM,SIN_CLASIFICAR,1,20,20,,5 soles
isac,SIN_CLASIFICAR,1,21,21,,Hola
Leo Huillca,SIN_CLASIFICAR,1,21,21,san jerónimo,"Buen día, algún servicio por San jerónimo por puente petro Perú para hoy 7:25am?"
JL,SIN_CLASIFICAR,1,21,21,,Tambien concuerdo con lo que dicen
Kevin,SIN_CLASIFICAR,1,21,21,,Cuál es el tarifario promedio? Por kilómetro?.
Mari,SIN_CLASIFICAR,1,21,21,,Confirmo
Cristian Castro,SIN_CLASIFICAR,1,21,21,,🛵👍🏼
L.,SIN_CLASIFICAR,1,22,22,,Si normal
Mi ♐,SIN_CLASIFICAR,1,23,23,,excelente servicio 20/10 por que diez no es suficiente para su excelente servicio🪄
